gene	cluster
Ccnd2	0
Hist1h4c	8
Knstrn	8
Amotl1	2
Emilin1	4
H2-Ob	1
Ifit3b	1
Egln3	2
Etv3	0
Auts2	4
Ckap2	8
Dll4	3
Epha4	7
Lrrc32	3
Cers4	10
Dysf	3
Me2	0
Gata2	3
Lmo7	3
Bank1	1
Stat4	5
Ptpn13	10
Hk2	0
Itgb4	3
Car12	9
Scd2	9
Adat1	7
Camk2n1	2
She	3
Rad51ap1	8
Lims2	3
Txndc5	0
Angpt2	3
Dtna	9
Arhgef12	4
Cst7	5
Zap70	5
Rpap3	10
Enc1	2
Mrc2	2
Cd37	0
Spic	1
Ptpn22	5
Ppm1l	2
Ptprg	3
Hyou1	0
Aoc3	2
Fam43a	3
Nfil3	0
P3h3	2
Spock2	2
Cep55	8
Dlc1	4
Tbx3	9
Selenoh	0
Dlgap5	8
Gstm2	2
Kif22	8
Actn2	5
Slc6a8	2
Ier5l	3
Gdpd1	1
Gm15472	5
Mafb	6
Runx1t1	2
Tlr2	0
Entpd1	0
H2-Ab1	6
Sgo1	8
Nfkbiz	0
Cacna1e	7
St8sia4	0
Ncapg	8
Prdm1	1
Ldlr	0
Dnm3os	2
Gimap5	5
Parva	4
Lilra5	1
Rasgef1c	9
Bcl6b	3
Efnb2	3
Asah2	3
Ccdc88a	0
Spsb1	2
Dach1	3
Cit	8
Dusp6	0
Piezo2	9
H2-DMb1	6
S100a10	6
Cd274	0
Cenpm	8
Hpgds	0
Idh1	0
Bmpr1a	2
Casc4	2
Herc6	1
Gimap9	5
Gnao1	2
Jun	6
Limch1	9
Trib1	0
Qpct	1
Il18	1
Gabarapl1	10
Slamf7	1
Plagl1	2
Galnt15	3
Erg	3
Gm15655	1
Adgra2	2
Nxn	2
Ar	10
Gm32688	3
Ctps	2
Nkx2-3	2
Tmpo	0
Fmo1	2
Arl5c	1
Upb1	7
Adam8	0
Ccn4	2
Fgd5	3
Lrmp	1
Hmgn3	10
Cxcl16	0
Relb	0
Asns	3
Cdc42bpa	2
Cycs	6
Mcm3	1
Nfix	0
Adgrg6	9
Plxna2	3
Trf	6
Ablim3	3
Irf7	0
Pard6g	3
Ncald	2
Gm17056	7
Gng12	0
Vamp1	7
Havcr2	1
P2ry1	2
Tnfaip3	1
Cbx5	0
Cyp2j6	9
H2afv	0
Hck	0
Tmem64	5
Rcn1	4
Zfp503	2
Pim3	0
Npdc1	4
Igtp	0
Rnasel	0
Rcan1	3
Gpr141	1
Ifitm3	6
Msi2	2
Cpeb2	1
Clca3a1	3
Entpd5	10
Mycl	1
Sag	7
Tent5a	0
Gcnt2	0
Lrrc1	10
Zfhx4	2
Creg1	0
Perp	10
Itpkb	0
Cd200r4	5
Dock9	3
Rab11fip1	1
