geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Speg	4833412K13Rik	Rab3gap1	Gm12932	Mettl24	Gm5577	Lypd8	Pclaf	Cd3g
Gmppa	Gm6159	R3hdm1	Gjb4	Cabcoco1	Chl1	2210407C18Rik	Ccnb2	Cd3d
Chpf	Gm37902	Ubxn4	Gm10300	Lrrc3	Gm44439	Tmem102	Mns1	Cd3e
Obsl1	Gm37262	Dars	Lin28a	Prss57	Gm44441	Cldn7	Ttk	Nt5e
Stk11ip	Gm37645	Mapkapk2	Slc30a2	Kiss1r	Gm44440	Krt20	Topbp1	Acpp
Slc4a3	A630081D01Rik	Rassf5	Gm16225	Otogl	Cecr2	Rundc3a	Traip	Eomes
Epha4	Gm7516	Srgap2	Il22ra1	Fam19a2	Kcna1	Llgl2	Kif15	Ccr9
Farsb	Gm19552	Nucks1	Gm13009	Gm47438	Kcna6	Myo15b	Fignl1	Cxcr6
Acsl3	Col4a3	Elk4	Pla2g2e	Gm31793	Sox5	Akr1c12	Spdl1	Lif
Utp14b	C430014B12Rik	Mdm4	Padi3	Mtmr7	4732416N19Rik	Gng4	Hmmr	Emid1
Kcne4	Gm28941	Ppp1r15b	Gm13245	AW046200	Ttyh1	Adtrp	Shmt1	Cyfip2
Scg2	Gm37058	Snrpe	Gm13067	Pde4c	Cadm4	Cdhr2	Aurkb	Itk
Wdfy1	Gm38374	Btg2	Perm1	Tmem221	Fxyd7	Fbp2	Pimreg	Tcf7
Mrpl44	Gm37738	Adipor1	Gm8773	Crry-ps	Fxyd1	Slc6a19	Haspin	Il4
Serpine2	Fbxo36	Kdm5b	Gm5714	Rasd2	Lgi4	Slc9a3	Spag5	Il13
Irs1	Slc16a14	Arl8a	Gm8879	D830024N08Rik	Fxyd3	Pcsk1	Atad5	Acap1
Rhbdd1	Rpl19-ps1	Rnpep	Gm8991	Tox3	Zfp536	Naip1	Brip1	Itgae
Pid1	Gm7609	Timm17a	Gm42660	Gm45643	Lrrc4b	Elovl7	Prr11	Ccl1
Dner	Gm16094	Nav1	2310074N15Rik	Gm45873	Myh14	Apob	Eme1	Ccl5
C130026I21Rik	Gpr55	Zfp281	Gm10290	Ndrg4	Luzp2	Sox11	Cdc6	Gm45716
A530032D15Rik	Gm37914	Ptprc	Gm43386	Smpd3	Gm2115	Gpx2	Top2a	Skap1
A530040E14Rik	Gm16341	Nek7	Adgrf3	Pdf	Fam181b	Acot4	Brca1	Tbx21
A630001G21Rik	Gm28626	Dennd1b	2900076G11Rik	Rps13-ps4	P4ha3	Ifi27l2b	Kif18b	Ikzf3
Htr2b	Nppc	Cfh	Gm42552	Fendrr	Plekhb1	Amn	Tk1	Rab37
Armc9	Gm29055	Cdc73	Gm43021	Foxf1	Insc	Apol10a	Birc5	Rnf157
B3gnt7	Gm37485	Glrx2	Gm43715	Map3k21	Sox6	Baiap2l2	Olfr1369-ps1	BC018473
C130036L24Rik	Gm38142	Uchl5	Gm42566	Kcnk1	Gm45153	Cyp2d26	Hist1h2bm	Tmc8
Pde6d	Gm38010	Rgs2	Gm5297	4930452B06Rik	Dpysl4	Slc51a	Hist1h4k	Cd7
Cops7b	Gm38021	Ptgs2	Gm2199	Ogdhl	Brsk2	Muc13	Hist1h2ak	Actn2
Dis3l2	Gm6136	Odr4	Gm7832	Gm49083	Mrgprf	Adgrg7	Hist1h2bn	Tcrg-C1
