geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Hyal2	AC161530.1							
Hyal1	AC163101.1							
Naa80	AC163101.2							
Ifrd2	Gm7497							
Sema3f	Gm2531							
Mon1a	Abhd3							
Mst1r	1010001N08Rik							
Uba7	Gata6							
Inka1	AC090479.2							
Gmppb	AC100751.1							
Rnf123	Lama3							
Apeh	Gm5687							
Dag1	AC104328.1							
Nicn1	Gm6457							
Tcta	Psma8							
Klhdc8b	AC102342.2							
Ccdc71	Gm10036							
Lamb2	Gm4835							
Qars	Dsc3							
Qrich1	Dsg2							
Dalrd3	Gm10269							
Wdr6	Gm6378							
P4htm	Asxl3							
Slc25a20	Gm15972							
Ip6k2	AC163399.1							
Nckipsd	AC113953.1							
Slc26a6	Gm26533							
Col7a1	A830052D11Rik							
Pfkfb4	Pkd2l2							
Atrip	Nme5							
Ccdc51	4933408B17Rik							
Nme6	Reep2							
Cdc25a	Gm5239							
Elp6	Gm36989							
Scap	Slc23a1							
Ptpn23	1700066B19Rik							
Klhl18	Gm6542							
Kif9	Dnd1							
Nradd	Vaultrc5							
Nbeal2	Pcdhb7							
Pth1r	Pcdhb21							
Mlh1	Gm8242							
Epm2aip1	Pcdhga2							
Ubp1	Pcdhga3							
Fbxl2	Pcdhgb1							
Crtap	Pcdhgb2							
Glb1	Pcdhga5							
Cnot10	Pcdhga6							
Cmtm8	Pcdhga7							
Gpd1l	Pcdhga8							
Rbms3	Pcdhgb5							
Itga9	Pcdhga9							
Ctdspl	Pcdhgb6							
Vill	Pcdhga10							
Plcd1	Pcdhga11							
Oxsr1	Pcdhgc4							
Acvr2b	Pcdhgc5							
Exog	Rell2							
Wdr48	Gm10268							
Gorasp1	Pcdh12							
1700019L13Rik	AC110730.1							
Slc25a38	Arhgap26.1							
Ulk4	Rps19-ps4							
Trak1	AC125110.1							
Sec22c	Gm16415							
Ss18l2	Gm8181							
E530011L22Rik	Trim36							
Zfp651	Mospd4							
Ackr2	AC148017.1							
1700048O20Rik	Cdo1							
Pomgnt2	AC123927.2							
Snrk	AC123927.3							
Ano10	AC123927.1							
Abhd5	Lvrn							
Tcaim	AC117239.2							
Zkscan7	AC121783.1							
Zfp105	Dtwd2							
Gm9856	Gm16283							
Tmem42	C030005K06Rik							
Clec3b	Cd63-ps							
Tmem158	Gm8529							
Fyco1	Gm4950							
2010315B03Rik	Gm4221							
Ppp2r3d	Adamts19							
Sfi1	Chsy3							
Eif4enif1	Gm5970							
Patz1	F830016B08Rik							
Pik3ip1	BC023105							
Limk2	Rps2-ps10							
Rnf185	Sh3tc2							
8430429K09Rik	Gm9949							
Selenom	Spink10							
Smtn	AC157903.1							
Morc2a	AC102106.1							
Slc35e4	A330084C13Rik							
Rnf215	AC157910.4							
Ccdc157	AC132307.3							
Tbc1d10a	AC132307.1							
Castor1	AC124578.3							
Ascc2	AC100212.9							
Nf2	Gnal							
Nipsnap1	AC140336.1							
Thoc5	Gm17669							
Gas2l1	Gm26910							
Rhbdd3	AC135016.1							
Kremen1	Rab27b							
Znrf3	Stard6							
Ccdc117	AC166779.2							
Urgcp	n-R5-8s1							
Polm	Myo5b							
Aebp1	AC113528.1							
Pold2	Zbtb7c							
Ddx56	Katnal2							
Zmiz2	Rnf165							
Snhg15	F830208F22Rik							
Ccm2	AC127331.2							
Tbrg4	AC157548.1							
Ramp3	Rpl21-ps8							
Adcy1	AC158975.2							
Igfbp3	4930445N18Rik							
Hus1	AC115789.2							
Upp1	Gm37216							
Grb10	Dok6							
Egfr	Eif3s6-ps2							
Cnrip1	AC163277.1							
Wdr92	AC132452.5							
Etaa1	AC133523.4							
8430419K02Rik	Gm49405							
Meis1	Doc2g							
2610001A08Rik	Gstp2							
Gm16141	Gstp3							
Spred2	Cabp4							
Cep68	Carns1							
Slc1a4	Gm17552							
Lgalsl	Ankrd13d							
Wdpcp	Sptbn2							
Ehbp1	Gm21992							
Tmem17	Gm37206							
B3gnt2	Actn3							
Zrsr1	Bbs1							
Fam161a	Peli3							
Ahsa2	Slc29a2							
0610010F05Rik	AC124502.3							
Pex13	Rin1							
Pus10	Tmem151a							
Papolg	Cnih2							
Bcl11a	AC122861.4							
Fancl	Fosl1							
Vrk2	AC126029.2							
Ccdc85a	1700020D05Rik							
Pnpt1	Gm31166							
Mtif2	Kcnk7							
Acyp2	Sssca1							
Asb3	Frmd8os							
Chac2	Tm7sf2							
Stc2	Gm14963							
Bod1	Cdc42bpg							
Snrnp25	Hmgb1-ps4							
Rhbdf1	CAAA01066123.1							
Nprl3	Rps6ka4							
Mpg	Rcor2							
Hba-a1	Gm17227							
Ubtd2	AC129188.1							
Fbxw11	1700105P06Rik							
Slit3	AC130693.1							
C1qtnf2	1700092M07Rik							
Pwwp2a	Zbtb3							
Ebf1	Gng3							
Lsm11	Lbhd1							
Thg1l	Snora57							
Adam19	Mir5136							
Havcr2	AC121967.1							
Timd4	Stxbp3-ps							
Sgcd	AC132253.9							
Trim41	AC132253.4							
Gm12184	AC132253.7							
Gm5431	AC132253.5							
Psme2b	Best1							
Olfr56	Myrf							
Tgtp1	Syt7							
Tgtp2	A430093F15Rik							
Zfp62	AC132402.1							
Flt4	Gm6501							
Scgb3a1	Ms4a1							
Gfpt2	Gm28935							
Mapk9	Gm38275							
Tbc1d9b	Oosp1							
Mrnip	A330040F15Rik							
Mgat4b	Gm47242							
Maml1	Gm5512							
Rufy1	Olfr1459							
Adamts2	AC136453.1							
Zfp354c	E030024N20Rik							
Zfp2	Gm32256							
Zfp354a	AC147026.1							
Col23a1	AC103947.2							
Phykpl	AC124513.1							
Rmnd5b	2410080I02Rik							
N4bp3	Gm9493							
0610009B22Rik	Gm6563							
Sec24a	Pip5k1b							
Jade2	Gm10053							
Cdkn2aipnl	Kank1							
Cdkl3	AC126944.1							
Olfr1372-ps1	Rps15a-ps2							
Zcchc10	Gm5822							
Sept8	4430402I18Rik							
Kif3a	Gm10136							
Gm12216	AC113961.1							
Slc22a5	Gm5518							
P4ha2	AC119228.1							
Acsl6	2700046G09Rik							
Gpx3	AC115752.1							
Tnip1	Rnls							
Ccdc69	Ankrd22							
Slc36a1	Gm26902							
Sparc	Ifit1bl2							
Mfap3	Gm47773							
Galnt10	Gm9042							
Cnot8	Rpl10-ps6							
Gemin5	AC137605.4							
Mrpl22	AC137605.6							
Zfp692	Gm38345							
Zfp672	Ffar4							
Sh3bp5l	Rbp4							
Gm12258	Gm340							
Zfp39	Frat1							
Hist3h2a	Hoga1							
Trim11	AL603804.1							
Iba57	Loxl4							
Gjc2	Pyroxd2							
2310033P09Rik	Gm6807							
Snap47	AC131185.2							
Zfp867	Gm16726							
Zkscan17	AC114539.1							
4933439C10Rik	Mfsd13a							
Flcn	2310034G01Rik							
Nt5m	AC122442.1							
Med9	Neurl1a							
Rai1	Gm19557							
Tom1l2	Cfap43							
Atpaf2	Gsto2							
Gid4	AC116451.2							
Drg2	Rpl13a-ps1							
Llgl1	AC133451.2							
Mief2	AC133451.1							
Top3a	AC137853.2							
Smcr8	Adra2a							
Dhrs7b	Nrap							
Tmem11	Gm17197							
Natd1	B230217O12Rik							
Aldh3a2	E330013P04Rik							
Mfap4	Nanos1							
Mapk7	Gm26158							
B9d1	mt-Tv							
Epn2	mt-Tq							
Grap	mt-Tm							
Prpsap2	Csprs							
Ulk2	AC125149.3							
A530017D24Rik	AC125149.2							
Akap10	AC168977.1							
Specc1	CAAA01147332.1							
Adora2b	Gm37180							
Zswim7	Gm38148							
Ttc19	Gm37587							
Pigl	St18							
Cenpv	Gm9947							
Trpv2	4930444P10Rik							
Lrrc75a	Crispld1							
Mmgt2	Gm38224							
Zfp287	Gm36949							
Zfp286	Gm29107							
Trim16	Khdrbs2							
Tvp23b	Lonrf2							
Pmp22	8430432A02Rik							
Cox10	Gm28906							
2810001G20Rik	Gm38137							
Elac2	Gm38075							
Zkscan6	6820402A03Rik							
Tmem220	Myl1							
Adprm	Abcb6							
Sco1	Fam124b							
Ntn1	Sphkap							
Pik3r5	Gm37959							
Pik3r6	Gm36970							
Myh10	Lypd1							
Arhgef15	Gm38026							
Slc25a35	Cntn2							
Rangrf	Etnk2							
Pfas	Gm15454							
Ctc1	Syt2							
9330160F10Rik	Nr5a2							
Borcs6	Gm37777							
Tmem107	Gm38284							
Per1	Gm38352							
Cntrob	Gm37578							
Rnf227	Gm37861							
Tmem88	Gm37873							
Wrap53	Gm37767							
Atp1b2	Fmo4							
Sat2	Gm37981							
Fxr2	Atp1a4							
Senp3	Ackr1							
Tnfsf13os	Fmn2							
Tnfsf13	5730408A14Rik							
Chrnb1	Gm37463							
Fgf11	Gm38169							
Nlgn2	Gm37516							
Plscr3	Gm37239							
Kctd11	Fam71a							
Neurl4	Gm37783							
Dvl2	Gm38036							
Dlg4	2900035J10Rik							
Bcl6b	Gm37366							
Rnasek	Cr2							
Pelp1	Gm37107							
Med11	Gm13187							
Zmynd15	Gm26565							
Pld2	Gm37520							
Mink1	Gm37742							
Eno3	Cubn							
Camta2	D930036K23Rik							
Kif1c	Gm37499							
Rpain	Gm13269							
Dhx33	Skida1							
Mis12	Gm38147							
Nlrp1b	Grin1							
Wscd1	Mamdc4							
Med31	Gm26236							
Smtnl2	Gm13524							
Spns2	Lhx6							
Ube2g1	Gm13428							
Cyb5d2	Gm43621							
Atp2a3	Nr6a1os							
Camkk1	B3galt1							
Ctns	D230022J07Rik							
Rap1gap2	Gm13689							
Cluh	Olfr1034							
Mettl16	Olfr259							
Mnt	Olfr1124							
Sgsm2	A930018P22Rik							
Tsr1	Dcdc5							
Srr	Bdnf							
Hic1	Ano3							
Ovca2	Ryr3							
Rtn4rl1	3110099E03Rik							
Rpa1	Capn3							
Smyd4	Erv3							
Serpinf1	Fermt1							
Wdr81	Calr-ps							
Tlcd2	Pcsk2							
Scarf1	Zfp133-ps							
Inpp5k	Gm25026							
Rph3al	Nkx2-2							
Rflnb	Wfdc6a							
Mrm3	Slc12a5							
Nxn	1110018N20Rik							
Trarg1	Kcng1							
Gosr1	Gm9873							
Ankrd13b	Gm34294							
Git1	Gm14411							
Trp53i13	Gm14412							
Phf12	Eef1a2							
Dhrs13	Magix							
Eral1	Sytl5							
Fam222b	4930578C19Rik							
Traf4	Gm5124							
Nek8	Gm14541							
Tlcd1	Atp1b4							
Rab34	Gm7598							
Proca1	Gm14584							
Aldoc	Smim10l2a							
Pigs	Gabrq							
Unc119	Gm14776							
Slc46a1	Gm4779							
Vtn	Rtl3							
Tmem199	Zfp711							
Poldip2	Pabpc5							
Tnfaip1	Xkrx							
Tmem97	Tceal6							
Nlk	9530051G07Rik							
Ccnq	Smpx							
Lyrm9	2700069I18Rik							
Ksr1	Nlgn1							
Evi2	Gm38066							
Utp6	Gm38197							
Tefm	Gm10258							
Rnf135	Gm38362							
Rhot1	Gm37652							
Rhbdl3	Gm38080							
5730455P16Rik	Gm37834							
Myo1d	Gm42923							
Ccl11	Gm43820							
Zfp830	Gm44136							
Lig3	Frem2							
Rffl	Gm42840							
Rad51d	Gm42843							
Nle1	Gm37035							
Unc45b	9330121J05Rik							
Slfn9	Gm10040							
Slfn4	Gm15535							
AA465934	Gm25188							
Pex12	S100a7a							
Wfdc18	Gm5278							
Wfdc21	Gm43743							
Heatr6	Oaz3							
Dusp14	Car14							
Tada2a	Gm42957							
Acaca	Gja5							
Aatf	Mab21l3							
Mrm1	9530097N15Rik							
Dhrs11	C030032O16Rik							
Pigw	Kcnd3os							
Znhit3	Amy1							
Car4	Gm43287							
Usp32	Tram1l1							
Ppm1d	Gm15551							
Bcas3	Gm42971							
Tbx2	Gm42970							
Brip1os	Gm43210							
Ints2	Gm5281							
Ptrh2	Gm43614							
Ypel2	Clca2							
Gdpd1	Gm43573							
Smg8	Gm30382							
Ska2	Ptgfr							
Trim37	Gm43859							
Ppm1e	Gm37515							
Sept4	Lrrc7							
Mtmr4	A830012C17Rik							
Mir142hg	Gm26548							
Cuedc1	Clvs1							
Akap1	A530072M11Rik							
Coil	Ttpa							
Dgke	Cnr1							
Pctp	Spink4							
Mmd	Spag8							
Hlf	Spaar							
Stxbp4	Pax5							
Cox11	A230083N12Rik							
Tom1l1	Gm26867							
Nme2	Elavl2							
Abcc3	Gm12703							
Cacna1g	Gm12676							
Epn3	Gm44037							
Rsad1	Mroh7							
Acsf2	Dio1							
Xylt2	Rab3b							
Col1a1	Elavl4							
Samd14	Slc5a9							
Pdk2	Cyp4x1							
Itga3	Zswim5							
Kat7	Ccdc24							
Fam117a	Cfap57							
Phb	Edn2							
Abi3	Dcdc2b							
Hoxb8	Gm13136							
Hoxb7	Rbp7							
Hoxb6	Rnf207							
Hoxb5	Gabrd							
Hoxb4	Ttll10							
Hoxb3	Gm43540							
Hoxb3os	Gm42676							
Hoxb2	Gm42447							
Snx11	Gm42448							
Copz2	Gm43490							
Pnpo	Gm43054							
Sp2	4831440E17Rik							
Scrn2	Plb1							
Mrpl10	Gm43023							
Osbpl7	Gm7879							
Tbkbp1	Gm42981							
Mrpl45	8030487O14Rik							
Socs7	Gm43506							
Arhgap23	Gm43504							
Cisd3	Gm43503							
Pcgf2	Gm3364							
Pip4k2b	E030026E10Rik							
B230217C12Rik	Gm43509							
Plxdc1	Gm42536							
Arl5c	Gm42537							
Cacnb1	Gm43014							
Fbxl20	Gm42615							
Stard3	Gm43686							
Pgap3	8030423F21Rik							
Erbb2	Gm10441							
Ormdl3	Gm43268							
Med24	Gm42725							
Thra	Gm42729							
Nr1d1	Nsun7							
Wipf2	Gm43792							
Igfbp4	Gm43794							
Tns4	Gm43281							
Krt10	Gm33167							
Hap1	Gm43415							
Jup	Gm42577							
P3h4	2310040G07Rik							
Fkbp10	Gm43547							
Nt5c3b	Hsd17b13							
Klhl11	Gm43422							
Nkiras2	1700028K03Rik							
Kat2a	Gm42517							
Ghdc	Gm10419							
Stat5b	Gm26779							
Stat5a	Gm26808							
Cavin1	Gm43136							
Naglu	P2rx2							
Coasy	Gm22716							
Psmc3ip	C130026L21Rik							
Retreg3	Miat							
Tubg1	Crybb3							
Plekhh3	Cabp1							
Cntnap1	Msi1							
Ramp2	Ccdc60							
Aoc3	Gm43541							
Aarsd1	Gm43684							
Ptges3l	Gm15860							
Rundc1	5830487J09Rik							
Vat1	Gm43340							
Rdm1	Gm42589							
Arl4d	Gm42588							
Meox1	Gm42442							
Cd300lg	Gm42441							
Mpp2	Gm42440							
Tmem101	Gm43019							
G6pc3	Gm43188							
Hdac5	Gm43186							
Tmub2	Zan							
Atxn7l3	Radil							
Fam171a2	BC030343							
Itga2b	Nptx2							
Fzd2	Gm43625							
Ccdc43	Gm6054							
Gjc1	Gm15408							
Higd1b	Gm42531							
Dcakd	Gm43196							
Plcd3	Gm26736							
Acbd4	Kcnd2							
Map3k14	Akr1b7							
Arhgap27	Gm37995							
Plekhm1	Gm37673							
Cdc27	Gm26638							
Myl4	4921507P07Rik							
Itgb3	Halr1							
Mettl2	Gm29430							
1700052K11Rik	Gm43966							
Tlk2	Gm16499.1							
Mrc2	Snca							
Cyb561	Gm20445							
Ace	Gm40377							
Dcaf7	Gm44286							
Taco1os	Gm32591							
Taco1	Ccdc142							
Map3k3	Nat8f5							
Strada	Nat8							
Ftsj3	Add2							
Cd79b	Gm44386							
Icam2	Gm44415							
Ern1	9530013L04Rik							
Tex2	Prokr1							
Pecam1	Gm44265							
Polg2	Gm43999							
Cep95	Gm44001							
Smurf2	Gm44178							
Kpna2	4930590J08Rik							
1810010H24Rik	Gm44095							
Pitpnc1	Gm44249							
Cep112	Gm15737							
Axin2	Gm44224							
Rgs9	Cntn3							
Amz2	Gm44193							
Wipi1	Ssu2							
Fam20a	Cav3							
Abca5	Gm43868							
Map2k6	Timp4							
Kcnj2	Gnb3							
Slc39a11	Gm23751							
Cog1	9330179D12Rik							
D11Wsu47e	Gm44190							
Cdc42ep4	Gm38910							
Sdk2	Gm30524							
Ttyh2	Slco1a4							
Kif19a	Gm43909							
Gprc5c	Gm49058							
Cd300lb	Gm44256							
Cd300ld3	Gm3854							
Nat9	Zim1							
Tmem104	Gm45351							
Fdxr	AC139131.1							
Fads6	Ranbp2-ps1							
Cdr2l	Hif3a							
Kctd2	Cblc							
Armc7	Zfp114							
Nup85	Ttc9b							
Gga3	Krtdap							
Slc25a19	BC060293							
Tmem94	Gm44997							
Caskin2	2310002F09Rik							
Tsen54	Acp4							
Recql5	1700008O03Rik							
Smim5	Lin7b							
Sap30bp	Gm45441							
Galk1	Gm45309							
Unk	Gm32849							
Unc13d	Gm44830							
Trim47	Mkrn3							
Trim65	Adamts17							
Fbf1	Gm21269							
Acox1	St8sia2							
Exoc7	Gm44949							
Sphk1	Gm37829							
Ube2o	Gm45174							
Rhbdf2	Gm44996							
Cygb	Ccdc81							
Prcd	Gm44675							
1810032O08Rik	Gm44676							
St6galnac2	Gm44677							
Mxra7	Gm44680							
Jmjd6	Gm45130							
Mfsd11	B230206I08Rik							
Snhg20	Gm44715							
2900041M22Rik	Gm34280							
Tmc6	Xrra1							
Tha1	Gm45344							
Usp36	Olfr552							
Timp2	Olfr635							
Lgals3bp	Gm22504							
Cant1	Syt9							
C1qtnf1	Gm45378							
Engase	4732496C06Rik							
Cbx8	Tmc7							
Cbx4	Gm44763							
Tbc1d16	Gm16326							
Gaa	Aqp8							
Sgsh	Zkscan2							
Slc26a11	Cd19							
A930037H05Rik	Prss8							
Endov	Gm26690							
Rptor	Gm44624							
Chmp6	Gm44625							
Baiap2	B4galnt4							
Cep131	Kcnq1							
Tepsin	Gm37364							
2900052L18Rik	Gm44929							
Bahcc1	Gm16153							
0610009L18Rik	Vip							
Faap100	Gm25410							
Nploc4	Gm48727							
Oxld1	Gm9930							
Ccdc137	Gm10824							
Arl16	Gm9767							
Hgs	A830082N09Rik							
Slc25a10	Gm47512							
Pcyt2	Gm15197							
Pycr1	Gm47857							
Aspscr1	Gm47388							
Lrrc45	Gm47389							
Rac3	Gm47503							
Dcxr	Gm47356							
Rfng	Gm47017							
Dus1l	Gm47016							
Fasn	Gm47626							
Sectm1a	Gm47611							
Ogfod3	Gm20597							
Hexdc	4930466K18Rik							
Narf	Gm47917							
Foxk2	Stox1							
Fn3krp	Gm16143							
Tbcd	Lrrtm3							
Fam208b	A330049N07Rik							
Asb13	Gm47976							
Net1	Gm47163							
Akr1c13	Gipc3							
Akr1e1	Gm3055							
Pitrm1	Zfp781							
Wdr37	Gm47573							
Idi1	Igf1os							
Chrm3	Sycp3							
Mtr	Ano4							
Heatr1	Gm26765							
Ero1lb	Gm47632							
Gpr137b	Gm47673							
Nid1	Slc6a15							
B3galnt2	Gm48203							
Tbce	Syt1							
Gm48027	Gm5176							
AW209491	Gm47840							
Gli3	Gli1							
Inhba	Stac3							
Yae1d1	Rdh7							
Gpr141	Olfr775							
Gm47664	Gm10699							
Trim27	Gm26714							
Zscan12	Gm44620							
Zkscan8	9130214F15Rik							
Hist1h4i	Ido1							
Zfp322a	Adam3							
Abt1	Gm45570							
Gm46404	Gm45572							
Hist1h2be	Gm45470							
Carmil1	Gm26978							
Ripor2	Gm9951							
Acot13	Gm38414							
Tdp2	Gm16348							
Aldh5a1	Gm45512							
Gpld1	Gm45537							
Mrs2	Wdr17							
Gm11361	Gm45484							
2610307P16Rik	Spock3							
Gm26735	Mef2b							
Sox4	Gm10644							
Cdkal1	Palm3							
E2f3	4930432K21Rik							
Mboat1	Gm16183							
Agtr1a	Gm27168							
Irf4	Gm19935							
Exoc2	Irx3							
Gmds	Gm45909							
Wrnip1	Pllp							
1110046J04Rik	Gm45767							
Nqo2	Gm31805							
Bphl	Ces2a							
Tubb2b	4932416K20Rik							
Pxdc1	Lrrc36							
Cdyl	Nrn1l							
Rpp40	Gm27956							
Lyrm4	Rpl10-ps2							
Fars2	Calb2							
AI463229	4930488N15Rik							
Bmp6	Gm45733							
Bloc1s5	Gm10617							
Slc35b3	A330074K22Rik							
Smim13	Pgbd5							
Nedd9	D830030K20Rik							
Tmem170b	Gm17129							
Edn1	Gm3488							
Phactr1	Gm3468							
Tbc1d7	Gm3636							
Sirt5	Gm48438							
Gm34084	Gm48601							
Gmpr	D030051J21Rik							
Fam8a1	Gm11100							
Kif13a	Lrrc3b							
Tpmt	Gm48283							
Kdm1b	1700054O19Rik							
Id4	Gm49616							
6720427I07Rik	Gm49309							
Ptpdc1	Syt15							
Phf2	Gm49201							
Fam120aos	Gm48949							
Susd3	Gm34934							
Fgd3	Rpl19-ps3							
Bicd2	Gm26590							
Ippk	Gm4742							
Ecm2	Gm6740							
Aspn	Dhrs2							
Ogn	Dleu7							
Nol8	Gm17941							
Iars	Blk							
Fbxw17	Stmn4							
S1pr3	Gnrh1							
Secisbp2	Gm49417							
Ror2	Npm2							
Sptlc1	9630013A20Rik							
Hrh2	C230086J09Rik							
Thoc3	Gm35909							
Simc1	Gm16835							
Arl10	Itgbl1							
Nop16	Deup1							
Tspan17	Gm29761							
Unc5a	Gm26521							
Zfp346	Glb1l2							
Rgs14	Gm48401							
Prr7	Gm48294							
Dbn1	Gm48293							
Pdlim7	Gm48565							
Dok3	Gm28119							
Fam193b	Gm48737							
B4galt7	Grik4							
Caml	D630033O11Rik							
Cxcl14	E230034D01Rik							
Klhl3	Htr3a							
Rmi1	Pou2af1							
Golm1	2010007H06Rik							
Isca1	Elmod1							
Gas1	Gm29322							
Dapk1	Cyp1a1							
Ctla2a	Islr2							
Gm7240	Hcn4							
Gm49359	Megf11							
Zfp934	Slc51b							
Gm36298	Gm37660							
Platr25	Prtg							
Gm5141	A730062M13Rik							
Gm47585	Gm48789							
Fancc	Mlip							
Ptch1	Elovl4							
Ercc6l2	9330154J02Rik							
Slc35d2	Prss35							
Zfp367	Gm37226							
Habp4	9430062P05Rik							
Cdc14b	Gm37195							
Aaed1	Gm19325							
Cdk20	Gm38344							
Zfp369	Gm47000							
Mterf3	Gm46999							
Ptdss1	Gm47102							
Zfp712	Hyal3							
Rsl1	Cdhr4							
Zfp458	Ccdc36							
Zfp595	Rtp3							
Zfp456	Trank1							
Zfp429	Dclk3							
Zfp459	Stac							
Zfp874a	Susd5							
Zfp874b	Zcwpw2							
Zfp58	Fam198a							
Zfp87	Cdcp1							
Zfp748	Gm11946							
Zfp729b	Osbp2							
Zfp729a	Sec14l4							
Zfp738	Vwc2							
Zfp65	Selenok-ps1							
Zfp85	Gm12088							
Zfp273	4931440F15Rik							
Mtrr	Gm12094							
Fastkd3	Gm29237							
Tent4a	Adra1b							
Ice1	Gm22751							
Lpcat1	Nipal4							
Slc12a7	Gm26551							
Gm15912	Gm12207							
Tppp	Fstl4							
Zfp72	Shroom1							
Ftl1-ps1	Sowaha							
E430024I08Rik	Olfr328							
Zfp825	Olfr318							
Gm46430	Slc47a1							
Gm48302	Gm45605							
Rhobtb3	Rnf112							
Rfesd	F930015N05Rik							
Arsk	Hs3st3a1							
Ttc37	9130017K11Rik							
Mctp1	Gm12305							
Slf1	Kcnab3							
2210408I21Rik	Dnah2os							
Polr3g	Alox12							
Mblac2	Tmigd1							
Tmem161b	Coro6							
Xrcc4	Pipox							
Atg10	Asic2							
Ssbp2	Gm15892							
4833422C13Rik	Gm26830							
Rasgrf2	Hoxb9							
Msh3	Gm11532							
Fam151b	Krt222							
Zfyve16	Gm11940							
Serinc5	Zfp385c							
Thbs4	Dhx58os							
Mtx3	Mpp3							
Homer1	Gm11653							
Jmy	Gm9910							
Arsb	Cacng5							
Wdr41	Rpl23a-ps14							
Zbed3	Galr2							
F2rl1	Gm11730							
F2r	Gm11725							
Poc5	Gm11747							
Polk	Rbfox3							
Gfm2	Enpp7							
Enc1	Nptx1							
Utp15	Tubal3							
Ankra2	Gm36423							
D130062J10Rik	Gm47411							
Zfp366	Gm26645							
Ptcd2	Gm48501							
Mrps27	Sfrp4							
Map1b	Gm10790							
Mccc2	Omd							
Serf1	Shc3							
Naip2	Trpc7							
Naip5	Gm48699							
Naip6	Gm48734							
Gtf2h2	Gm9894							
Rad17	Gm15740							
Ccdc125	3110006O06Rik							
Cdk7	Gm4211							
Slc30a5	A230107N01Rik							
Cd180	Gcnt4							
Mast4	Gm30411							
Nln	Gm47558							
Sgtb	Fam228a							
Trappc13	Gm48082							
Trim23	Vsnl1							
Ppwd1	B430203G13Rik							
Cwc27	Gm49769							
Ipo11	2900060N12Rik							
Dimt1	Colec11							
Ndufaf2	Slc26a3							
Ercc8	Gm48617							
Pde4d	Gm29007							
Gapt	Gm35755							
Mier3	Gm47374							
Ankrd55	Gm47096							
Il31ra	Gm48181							
Ddx4	Gm48182							
Plpp1	Gm48543							
Dhx29	Gm48542							
Gpx8	Gm36262							
Arl15	Gm17529							
Itga1	Gm24233							
Pelo	Gm48368							
Parp8	Gm48418							
Mrps30	Gm32219							
Nnt	4930404H11Rik							
4833420G17Rik	Rgs6							
Nim1k	Gm38355							
Gm36161	Rps6kl1							
Gm21762	Gm45930							
BC147527	Nrxn3							
Rab10os	Gm47370							
Kif3c	Unc79							
1110002L01Rik	AU015791							
Dtnb	Cyp46a1							
Dnajc27	Dlk1							
Adcy3	Gm26906							
Cenpo	Gm35558.2							
Ptrhd1	2810029C07Rik							
Fkbp1b	Aspg							
Wdcp	Ighg3							
Ldah	Ighd							
Hs1bp3	Gm11027							
Sdc1	Gm48119							
Wdr35	Gm15937							
Ttc32	Osr2							
Rdh14	Gm10384							
Nbas	Mal2							
Trib2	Fam135b							
Lpin1	Gm6569							
E2f6	Mafa							
Pqlc3	Gm35339							
Nol10	Gm17753							
Gm49700	Gm49486							
Cpsf3	Mchr1							
Iah1	Mei1							
Taf1b	Wnt7b							
Klf11	Ppara							
Cys1	Mapk8ip2							
Mboat2	Gm26760							
Rnf144a	Endou							
Cmpk2	Zfp641							
Rnaseh1	B130046B21Rik							
Adi1	Faim2							
Trappc12	Gm5475							
Eipr1	Gm27209							
Pxdn	1110013H19Rik							
Tmem18	Amhr2							
Lamb1	5730585A16Rik							
Cbll1	Gm15879							
Bcap29	Gm6142							
Dus4l	Shisa9							
Cog5	Gm15950							
Prkar2b	Gm9974							
F730043M19Rik	Iglc1							
Twist1	Iglc2							
Hdac9	Sst							
Snx13	AU015336							
Ankmy2	AC154232.1							
Meox2	Gm19522							
Agmo	Gm25873							
Etv1	Gm9968							
Arl4a	Cd200r2							
Gm17056	Tagln3							
Zfp277	Trat1							
Dock4	Gm49660							
Immp2l	Gm49659							
Nrcam	Gm49658							
Stxbp6	9430053O09Rik							
Nova1	Gm32624							
G2e3	Gm2885							
Ap4s1	Gm37402							
Heatr5a	Bicdl2							
Dtd2	Dnase1l2							
Nubpl	Caskin1							
Arhgap5	Syngr3							
Egln3	Meiob							
Gm22513	Ptx4							
2700097O09Rik	Glp1r							
Srp54a	AC166172.6							
Fam177a	AC166172.5							
Ppp2r3c	Cbs							
Ralgapa1	Zfp811							
Brms1l	Gm8696							
Mbip	Trim15							
Prps1l3	Gm20429							
Mipol1	Mep1a							
Clec14a	Guca1b							
Sec23a	Prickle4							
Gemin2	Frs3							
Fbxo33	Kif6							
Gm527	Slc5a7							
Klhl28	Fsd1							
Togaram1	Vmn2r120							
Dnaaf2	CT025659.2							
9330151L19Rik	AC109261.4							
Pole2	Gm6276							
Klhdc1	Kcng3							
Vcpkmt	Gm15978							
Sos2	Gm26575							
L2hgdh	AC102055.1							
Atp5s	Gm24959							
Map4k5	Zscan30							
Atl1	Gm26538							
Frmd6	Pcdhb3							
3110056K07Rik	Pcdhb4							
Timm9	Pcdhb5							
2700049A03Rik	Pcdhb6							
Dact1	Pcdhb10							
Daam1	Pcdhb11							
L3hypdh	Pcdhb12							
Rtn1	Pcdhb13							
Pcnx4	Pcdhb15							
Mnat1	Pcdhb18							
