genes	geneCluster
Slc2a4rg-ps	0
Uckl1	0
Zfp512b	0
Samd10	0
Sox18	0
Polr3k	0
Shroom4	0
Ccdc22	0
Prickle3	0
Gpkow	0
Wdr45	0
Praf2	0
Slc35a2	0
Pqbp1	0
Hdac6	0
Suv39h1	0
Wdr13	0
Tbc1d25	0
Porcn	0
Ftsj1	0
B630019K06Rik	0
Srpx	0
Tspan7	0
Bcor	0
1810030O07Rik	0
Med14	0
Cask	0
Maoa	0
Maob	0
Kdm6a	0
Gm14636	0
Chst7	0
Jade3	0
Rbm10	0
Cdk16	0
Usp11	0
Elk1	0
Uxt	0
Zfp182	0
Klhl13	0
Wdr44	0
Akap17b	0
C330007P06Rik	0
Nkrf	0
Upf3b	0
Zbtb33	0
Tmem255a	0
Cul4b	0
C1galt1c1	0
Gria3	0
Smarca1	0
Ocrl	0
Apln	0
Sash3	0
Zdhhc9	0
Bcorl1	0
Aifm1	0
Zfp280c	0
Slc25a14	0
Rbmx2	0
Enox2	0
Firre	0
Gpc4	0
Phf6	0
C430049B03Rik	0
Fam122b	0
Mospd1	0
Rtl8a	0
Rtl8b	0
Xlr	0
3830403N18Rik	0
Zfp449	0
Ints6l	0
Mmgt1	0
Slc9a6	0
Fhl1	0
Rbmx	0
Atp11c	0
C230004F18Rik	0
1110012L19Rik	0
Tmem185a	0
Mamld1	0
Mtm1	0
Mtmr1	0
Cd99l2	0
Hmgb3	0
Prrg3	0
Gabra3	0
Nsdhl	0
Xlr3b	0
F8a	0
Zfp275	0
Haus7	0
Bgn	0
Pnck	0
Slc6a8	0
Abcd1	0
Pdzd4	0
Arhgap4	0
Renbp	0
Dnase1l1	0
Taz	0
Slc10a3	0
Fam3a	0
Ikbkg	0
G6pdx	0
Gab3	0
Cmc4	0
Mtcp1	0
Brcc3	0
4933407K13Rik	0
Pls3	0
Prrg1	0
Tmem47	0
Tab3	0
5430427O19Rik	0
Pola1	0
Pdk3	0
Klhl15	0
Apoo	0
Maged1	0
Gspt2	0
Zxdb	0
Spin4	0
Arhgef9	0
Amer1	0
Zc4h2	0
Zc3h12b	0
Las1l	0
F630028O10Rik	0
Heph	0
Ar	0
Ophn1	0
Yipf6	0
Efnb1	0
Pja1	0
Eda	0
Pdzd11	0
Dlg3	0
Snx12	0
Foxo4	0
Med12	0
Zmym3	0
Nhsl2	0
Rtl5	0
Hdac8	0
Phka1	0
Chic1	0
Jpx	0
Ftx	0
Slc16a2	0
Abcb7	0
Zdhhc15	0
5530601H04Rik	0
Magee1	0
Atp7a	0
Tlr13	0
Taf9b	0
Lpar4	0
P2ry10b	0
Itm2a	0
2610002M06Rik	0
Brwd3	0
2810403D21Rik	0
Hmgn5	0
Gm6377	0
Apool	0
Chm	0
Klhl4	0
Nap1l3	0
Pcdh19	0
Tspan6	0
Srpx2	0
Cstf2	0
Trmt2b	0
Timm8a1	0
Gla	0
Armcx4	0
Armcx1	0
Armcx6	0
Armcx2	0
Zmat1	0
Gprasp1	0
Armcx5	0
Bhlhb9	0
Gprasp2	0
Arxes2	0
Arxes1	0
Bex2	0
Tceal5	0
Tceal1	0
BC065397	0
Slc25a53	0
Zcchc18	0
Fam199x	0
Nrk	0
Mum1l1	0
Rnf128	0
Tbc1d8b	0
Rbm41	0
Mid2	0
Psmd10	0
Atg4a	0
Col4a5	0
Nxt2	0
Tmem164	0
Ammecr1	0
Chrdl1	0
Alg13	0
Lrch2	0
Tmem29	0
Apex2	0
Maged2	0
Fgd1	0
Tsr2	0
Fam120c	0
Phf8	0
Iqsec2	0
Kantr	0
Tspyl2	0
Gpr173	0
Shroom2	0
Mageh1	0
Kctd12b	0
Nbdy	0
Acot9	0
Sms	0
Mbtps2	0
Bclaf3	0
Map3k15	0
Phka2	0
Cdkl5	0
Rai2	0
