gene	cluster
Ssna1	1
Anapc2	4
AA543186	5
Man1b1	0
Dpp7	0
Uap1l1	15
Sapcd2	16
Entpd2	12
Npdc1	8
Fut7	5
Abca2	0
Paxx	0
Clic3	11
Ptgds	11
C8g	5
Fbxw5	0
Traf2	0
Edf1	6
Phpt1	1
Ajm1	7
Rabl6	4
Tmem141	15
Fcna	15
Bmyc	15
Camsap1	0
Ubac1	0
Nacc2	15
Tmem250-ps	0
Qsox2	0
Ccdc187	11
Gpsm1	0
Dnlz	4
Card9	3
Snapc4	3
Gm13563	2
Entr1	4
Pmpca	4
Inpp5e	0
Sec16a	4
0610009E02Rik	2
Notch1	1
Egfl7	10
Agpat2	0
Fam69b	9
Lcn4	5
Surf6	0
Med22	0
Rpl7a	6
Surf1	4
Surf2	0
Surf4	1
Rexo4	4
Cacfd1	0
Slc2a6	3
Adamtsl2	9
Sardh	2
Vav2	15
Brd3os	9
Brd3	1
Wdr5	0
Gm25541	5
Gm13421	5
Rxra	0
Col5a1	8
Olfm1	6
Gm13373	5
Ppp1r26	14
1700007K13Rik	14
Mrps2	0
Gbgt1	2
Ralgds	4
Gtf3c5	0
Gfi1b	17
Tsc1	0
Spaca9	5
Ak8	5
Gtf3c4	0
Ddx31	0
Cfap77	14
Ttf1	0
Setx	1
Ntng2	5
6530402F18Rik	3
Med27	0
Rapgef1	4
Trub2	0
Coq4	0
Slc27a4	0
Urm1	0
2600006K01Rik	14
Cercam	9
Odf2	0
Gle1	0
Sptan1	1
Wdr34	12
Set	6
Pkn3	10
Zdhhc12	0
Zer1	0
Tbc1d13	4
Endog	0
Spout1	0
Kyat1	3
1700084E18Rik	2
Lrrc8a	8
Phyhd1	5
Dolk	0
Nup188	0
Sh3glb2	1
Miga2	9
Dolpp1	0
Crat	0
Ptpa	1
Ier5l	8
Cstad	2
Gm14488	14
Ntmt1	0
Asb6	0
Prrx2	2
Ptges	9
Tor1b	1
Tor1a	4
BC005624	1
Usp20	3
Fnbp1	1
D330023K18Rik	0
Gpr107	4
Ncs1	7
Hmcn2	8
Ass1	4
Fubp3	4
Exosc2	0
Abl1	4
Qrfp	13
Lamc3	2
Aif1l	2
Nup214	4
Fam78a	0
Plpp7	3
Prrc2b	1
Pomt1	0
Uck1	0
Gm13611	3
Swi5	6
Golga2	4
Dnm1	9
Ciz1	0
1110008P14Rik	4
Lcn2	10
Ptges2	0
Gm13413	5
Slc25a25	0
Naif1	3
Fam102a	13
Dpm2	4
St6galnac4	1
St6galnac6	0
Ak1	0
Eng	8
Fpgs	0
Cdk9	1
Sh2d3c	10
Tor2a	4
Ptrh1	3
Stxbp1	8
Fam129b	4
Lrsam1	3
Rpl12	6
Slc2a8	0
Garnl3	9
Gm38299	2
Ralgps1	0
Gm13528	9
Angptl2	8
Zbtb34	0
Zbtb43	0
Mvb12b	15
Pbx3	8
Mapkap1	1
Gm13408	2
Gapvd1	1
Hspa5	6
Rabepk	0
Fbxw2	1
Psmd5	0
Phf19	16
Traf1	13
Hc	5
Cntrl	4
Rab14	6
Gsn	6
Gm43128	2
Stom	4
Gm13443	7
Ggta1	4
Gm43761	3
Dab2ip	8
Ndufa8	6
Rbm18	4
Mrrf	10
Gm13431	2
Ptgs1	1
Gm13436	3
Pdcl	4
Rc3h2	1
Zbtb6	0
Zbtb26	0
Rabgap1	4
Strbp	4
Gpr21	2
Crb2	11
Dennd1a	1
Gm44283	3
Gm44443	5
Gm44291	3
Nek6	0
Gm35808	5
Psmb7	1
Gm13586	5
Nr6a1	14
Gm44144	2
5730507A11Rik	9
Olfml2a	12
Wdr38	14
Rpl35	6
Arpc5l	1
Golga1	0
Scai	0
Gm16523	2
Gm44027	7
Ppp6c	4
Gm13456	5
Kynu	5
Arhgap15	13
Gtdc1	0
Zeb2	6
Zeb2os	1
Gm13479	3
Gm13470	17
Acvr2a	0
Orc4	4
Mbd5	0
Gm13509	5
Epc2	1
Kif5c	2
Lypd6	7
Mmadhc	4
Rnd3	15
Rbm43	0
Nmi	6
Tnfaip6	0
Rif1	1
Neb	13
Arl5a	1
A430018G15Rik	2
Cacnb4	7
Stam2	4
Fmnl2	4
Prpf40a	6
Arl6ip6	4
Gm13502	5
Rprm	9
Nr4a2	4
A930012O16Rik	7
Gpd2	4
Gm13535	5
Gm13532	2
Cytip	6
Gm13546	5
Gm13545	2
Acvr1	0
Upp2	3
Ccdc148	7
Pkp4	4
Tanc1	10
Wdsub1	0
Baz2b	1
Gm13570	2
March7	1
Cd302	15
Gm13573	2
Ly75	13
Pla2r1	11
Rbms1	6
Tank	1
Psmd14	1
Dpp4	11
Fap	9
Ifih1	6
Gca	3
Fign	12
Grb14	12
Cobll1	11
Gm13594	2
Scn3a	10
Scn2a	9
Galnt3	3
Ttc21b	0
Scn7a	12
Gm13604	2
Stk39	0
Cers6	1
Gm37159	3
Gm38236	3
Gm37651	3
Gm37747	3
Gm37666	5
Gm38377	3
Nostrin	0
Spc25	16
Dhrs9	0
Lrp2	11
Bbs5	3
Fastkd1	3
Ppig	6
Gm13622	3
Ccdc173	3
Gm13623	5
Phospho2	0
Klhl23	7
Ssb	6
Mettl5	0
Gm13625	2
Mettl5os	2
Ubr3	1
Gorasp2	1
Tlk1	1
Mettl8	3
Dcaf17	0
Cybrd1	11
Dync1i2	6
Slc25a12	4
Gm13641	7
Hat1	4
Metap1d	0
Itga6	10
Pdk1	4
Rapgef4	10
Map3k20	0
Cdca7	16
Sp3	1
Sp3os	0
Ola1	1
Gm13665	14
Cir1	4
Scrn3	3
Gpr155	0
Wipf1	1
Chrna1os	2
Chn1	9
Atf2	4
Atp5g3	6
Lnpk	4
Mrpl23-ps1	0
Hoxd3os1	10
Hoxd8	10
Hoxd4	10
Mtx2	4
Rps6-ps4	3
Gm13653	17
Hnrnpa3	6
Nfe2l2	6
Gm13657	17
Agps	1
Ttc30b	9
Ttc30a1	3
Rbm45	0
Osbpl6	9
Prkra	0
Fkbp7	8
Plekha3	4
Ccdc141	8
Sestd1	4
Gm13650	5
Zfp385b	9
Cwc22	4
Ube2e3	1
Itga4	6
Cerkl	3
Itprid2	1
Pde1a	8
Dnajc10	1
Frzb	12
Nckap1	8
Dusp19	3
Nup35	0
Gm13680	5
Zc3h15	1
Itgav	1
Fam171b	9
Calcrl	8
Tfpi	8
Gm13710	2
Ctnnd1	15
Selenoh	16
Tmx2	0
Med19	4
Zdhhc5	4
Clp1	0
Gm19426	2
Serping1	8
Ube2l6	4
Timm10	4
Slc43a1	9
Slc43a3	8
Ssrp1	1
Tnks1bp1	11
Aplnr	10
Gm13713	5
Lrrc55	9
Olfr1033	9
Gm13743	7
Ptprj	1
4933423P22Rik	5
