genes	geneCluster
Chodl	5
Ces1d	5
Gdf10	5
Chrm2	5
Adamts5	5
Penk	5
Slc12a2	5
Synpo2	5
Ndufa4l2	5
Ptges	5
Rgs4	5
Il1r1	5
Sdc1	5
Dmpk	5
Pdgfrb	5
Col8a1	5
Flnc	5
Fndc1	5
Cyp7b1	5
Bpgm	5
Osr1	5
Kcnj8	5
Htra3	5
Robo2	5
Ctsk	5
Ackr4	5
Mab21l2	5
Tcf21	5
H1fx	5
Gjc1	5
Enpep	5
F3	5
Mfap2	5
Pla1a	5
Elovl6	5
Cacna2d1	5
Kdelr3	5
Sned1	5
Lama2	5
Lhfp	5
Olfml2b	5
Islr	5
Psd	5
Tmem229a	5
Tmem200a	5
Atp2a3	5
Gpnmb	5
Rora	5
Ramp1	5
Mdk	5
Reck	5
Ms4a4d	5
P4ha2	5
Atp8b1	5
Khdrbs3	5
Mrvi1	5
Ppp1r12b	5
Hlf	5
Tgfb3	5
Ecm2	5
Crispld2	5
Adcyap1r1	5
Nexn	5
Cdc42ep5	5
Carmn	5
Spry4	5
Ank1	5
Dkk3	5
Ntrk3	5
Scube2	5
Abcd3	5
Cped1	5
Hacd1	5
Mmp23	5
Ngf	5
Parm1	5
Antxr1	5
Adamtsl3	5
C1qtnf2	5
Myo6	5
Tmem119	5
Tnni2	5
Fat1	5
Atf5	5
Lrig1	5
Egln3	5
Epha4	5
Camk2n1	5
Mrc2	5
Ppm1l	5
Aoc3	5
P3h3	5
Slc6a8	5
Dnm3os	5
Gnao1	5
Plagl1	5
Adgra2	5
Fmo1	5
Ccn4	5
Ncald	5
P2ry1	5
Lama1	5
Fhl2	5
Prkg1	5
Tnfrsf12a	5
Ank2	5
Pcdh18	5
C1qtnf6	5
Steap3	5
Plekha6	5
Oaf	5
Hic1	5
Ghr	5
Rgs7bp	5
Slc16a2	5
Klhdc8b	5
Adam19	5
Map3k20	5
Rem1	5
Rragd	5
Bhlhe41	5
Dbp	5
Arsi	5
Dact1	5
Tenm4	5
Enpp1	5
Pde1a	5
Spats2l	5
Lgals4	6
Ear2	6
Il4i1	6
Areg	6
Tcrg-C1	6
Klk1	6
Zfp202	6
Il1rl1	6
Pcp4	6
Map3k12	6
Siglech	6
Lmod1	6
Vtn	6
Lyz1	6
Il10	6
Calca	6
Notch3	6
Mgam	6
Gm26885	6
Adgrg3	6
Sh3bgr	6
Cysltr2	6
Kcnk3	6
Apoc1	6
Hepacam2	6
Cox4i2	6
Igsf9b	6
Ociad2	6
Selp	6
Tcrg-C4	6
Fmo5	6
C730034F03Rik	6
1500002C15Rik	6
Cyp26b1	6
Il2	6
Atp6v0d2	6
Lif	6
Ckm	6
Tnfsf8	6
Ifit1bl1	6
Neb	6
Mttp	6
Chdh	6
Adgre4	6
Cd96	6
Ccdc184	6
Cd209b	6
Alpk2	6
Pigr	6
Fgf13	6
Tubb2b	6
Lepr	6
Tcf19	6
Gm10827	6
Sult2b1	6
Degs2	6
Ifit1bl2	6
Pdgfrl	6
Foxp2	6
Gm45184	6
A430035B10Rik	6
Rnf128	6
Bmx	6
Prkaa2	6
Strip2	6
Tesc	6
Pdzd4	6
Cpm	6
Ppargc1a	6
Gm13075	6
Bdh1	6
Il17rb	6
Adat1	6
Angpt2	6
Spic	6
Actn2	6
Cacna1e	6
Upb1	6
Gm17056	6
Vamp1	6
Mycl	6
Sag	6
Rbpms2	6
Esm1	6
Mir155hg	6
Nipal1	6
1700120C14Rik	6
Ccne1	6
Podnl1	6
Cited4	6
Fam221a	6
Dlg2	6
Hspb6	6
Cdc6	6
Zcwpw1	6
H2-Q2	6
Slc26a6	6
Dtx1	6
Zcchc18	6
Bag2	6
AI463229	6
Treml4	6
Slc46a1	6
Apobec2	6
Il27	6
Mns1	6
G530011O06Rik	6
Eno3	6
Mmp25	6
Dusp4	6
Frat2	6
Tmem86b	6
Pip5k1b	6
Gm43260	6
Pnp2	6
Smim5	6
Chek1	6
Angpt1	6
Dhrs11	6
Phkg1	6
Rab3a	6
Gm43813	6
Ccno	6
Gm9530	6
Kctd14	6
Brca1	6
St8sia1	6
Skint3	6
Per2	6
Slc6a13	6
Ung	6
Scn7a	7
Sfrp1	7
Kcna1	7
Plp1	7
Postn	7
Kcna2	7
Apod	7
Sostdc1	7
Gpr37l1	7
Gpm6b	7
Ncam1	7
Ccn2	7
Itih5	7
Col12a1	7
Cryab	7
Fxyd1	7
Ank3	7
Chl1	7
Pdgfa	7
Serpine2	7
Adamts1	7
Mal	7
Cdh19	7
Ptprz1	7
Ikzf2	7
Tppp3	7
Lgi4	7
Nrn1	7
Sox10	7
S100b	7
Col18a1	7
