gene	cluster
si:ch73-193i22.1	3
cxcr4b	3
hoxb9a	3
esrrga	3
drgx	3
nptna	3
lhx1a	3
si:dkey-85n7.8	3
atoh1a	3
rln1	3
pou6f2	3
rprma	3
tulp1a	3
proca1	3
dlx2b	3
CU467822.1	3
calb1	3
hhatlb	3
zic1	3
ENSDARG00000036894	3
endou2	3
zic4	3
guca1c	3
prdm13	3
nxph1	3
kctd4	3
zgc:110699	3
slc25a38a	3
si:dkey-7j14.5	3
plk2a	3
pou3f3a	3
kmo	3
barhl1a	3
tm6sf2	3
lhx4	3
socs4	3
cdk5r2a	3
chgb	3
sall3a	3
CR855860.1	3
sox1a	3
ak5	3
b3gat2	3
cspg5a	3
gbx1	3
her8.2	3
gjd1a	3
fgf8a	3
lhx5	3
vgll2b	3
il20ra	3
tekt4	3
cntnap2a	3
zp3.2	3
adgrg11	3
tmem178	3
rab6ba	3
tppp2	3
BX649556.1	3
cdh8	3
nefma	3
ntrk3a	3
foxb1a	3
syt12	3
slc6a1a	3
raly	3
nkx2.2b	3
hoxc6a	3
otx1a	3
casz1	3
capsla	3
olfm3a	3
si:ch211-241e1.3	3
nlrc3	3
tcf15	3
gfral	3
CU459186.7	3
otx1b	3
si:dkey-30c15.2	3
ntn1b	3
CABZ01072077.1	3
sox19a	3
en2a	3
cyp8b2	3
skor1b	3
kcng1	3
foxg1b	3
ada	3
fgfbp1b.1	3
otofa	3
CABZ01069081.1	3
en1a	3
si:ch211-22d5.2	3
lhx9	3
CABZ01095157.1	3
map1lc3cl	3
cacng5a	3
rhd	3
ENSDARG00000059485	3
si:dkeyp-72g9.4	3
atp2b3b	3
sox21b	3
vipb	4
otpa	4
gadd45gb.1	4
tac3a	4
adcyap1b	4
vip	4
phex	4
crhbp	4
ascl1a	4
phox2ba	4
sncgb	4
prph	4
cyp26a1	4
islr2	4
crabp1b	4
tfap2b	4
smarca2	4
hoxb6b	4
cplx2l	4
elavl4	4
CU468917.1	4
egr4	4
snap25a	4
serpine2	4
scrt1a	4
dlb	4
plcxd3	4
vim	4
vgf	4
zgc:65894	4
hoxb8a	4
stmn2b	4
stmn2a	4
slc2a3a	4
tmsb	4
nell2b	4
atp2b3a	4
tspan18a	4
tmsb2	4
uchl1	4
gap43	4
phox2a	4
adgre10	4
pou3f1	4
phox2bb	4
sncb	4
