gene	cluster
ppfibp2b	3
gstp2	3
ces2	3
si:dkey-36i7.3	3
sult2st2	3
serpina1	3
c8g	3
epdl2	3
arid3c	3
uox	3
endou	3
ugt1ab	3
spink4	3
plekha7a	3
hal	3
c9	3
gc	3
anxa2b	3
BX908782.1	3
kidins220a	3
itln3	3
pklr	3
vipr2	3
chia.2	3
CU682777.2	3
entpd8	3
ar	3
si:dkey-63d15.12	3
itga4	3
hoxc10a	3
rassf7b	3
fgl1	3
irf6	3
leg1.1	3
msrb2	3
cldn15lb	3
slc2a1b	3
baiap2l1a	3
tmprss4a	3
adh8a	3
mat2ab	3
upb1	3
ryr3	3
xylt1	3
lrp2b	3
lcn15	3
celsr1a	3
dab2	3
rbpjl	3
CABZ01045617.1	3
aff2	3
pla2g12b	3
hoxb13a	3
foxo1b	3
zgc:112146	3
crhr1	3
clmn	3
si:ch211-212k18.7	3
slc6a19b	3
slc7a7	3
rasef	3
eppk1	3
sult3st3.1	3
dnase1	3
BX663520.1	3
defbl1	4
actc1b	4
her4.2.1	4
fabp7a	4
ascl1a	4
mylpfa	4
mylz3	4
her4.1	4
her4.2	4
her2	4
her15.1	4
entpd3	4
scn4ab	4
mbpb	4
hsp90aa1.1	4
nfkbiaa	4
tcap	4
si:ch211-131k2.3	4
her12	4
cyp26a1	4
her4.3	4
fabp2	4
olig2	4
pou3f1	4
gamt	4
ppp1r14aa	4
dlb	4
zeb2a	4
zgc:153911	4
pvalb1	4
TCIM (1 of many)	4
her4.4	4
gadd45gb.1	4
si:ch73-335m24.2	4
rgcc	4
timd4	4
crlf1a	4
plp1b	4
hoxb8a	4
CT027638.1	4
pvalb2	4
cldn11a	4
glula	4
srrm4	4
apoeb	4
dkk1a	4
cd59	4
cldn19	4
mpz	4
cadm4	4
sncga	4
chl1b	4
si:ch73-21g5.7	4
hoxb6b	4
plk2b	4
si:dkey-16p21.8	4
tnni2a.4	4
dlx5a	4
igfbp7	4
nr4a2b	4
crip1	4
fstb	4
hmx3a	4
hepacama	4
mybphb	4
cspg5a	4
sb:cb81	4
serpine2	4
efhd1	4
ugt8	4
gata2a	4
egr2b	4
nr4a3	4
eif4ebp3l	4
clic6	4
elovl1a	4
foxd3	4
dla	4
pbx1a	4
hbegfb	4
nfkbiab	4
qki2	4
gldn	4
apoa2	4
tlx2	4
cldnk	4
gadd45ga	4
rnd1b	4
rbm24a	4
odc1	4
CR812832.1	4
ppdpfa	4
bcam	4
rpz5	4
zfhx4	4
dap	4
phlda2	4
sox11b	4
pdk2b	4
tcf7l2	4
phlda1	4
sox10	4
eya1	4
mob2a	4
calcrla	4
kctd12.2	4
cited4b	4
vmp1	4
anxa4	4
camk2n1a	4
prdm1a	4
tm4sf18	4
mss51	4
sgk1	4
npm1a	4
ckba	4
prdx1	4
hes6	4
slc35c2	4
hoxb1b	4
bambib	4
zgc:154093	4
phgdh	4
col18a1a	4
hoxb7a	4
adam8a	4
s1pr1	4
CABZ01075125.1	4
bambia	4
chchd10	4
tpd52l1	4
mycla	4
egr3	4
pik3ip1	4
rnd2	4
mbpa	4
tpma	4
apoa1b	4
sik2b	4
scp2a	4
itm2cb	4
cox6b1	4
mef2cb	4
pvalb4	4
pgd	4
BX510923.1	4
nedd9	4
si:dkey-200l5.4	4
pxna	4
pcdh7a	4
impdh1b	4
si:ch211-132g1.3	4
jam2a	4
cx27.5	4
arl5c	4
si:dkey-34d22.1	4
tox2	4
ngfrb	4
flj13639	4
alcamb	4
ppap2d	4
myo1cb	4
cdkn1ca	4
tyrp1b	5
pmela	5
icn	5
dct	5
pnp4a	5
slc45a2	5
gch2	5
tyrp1a	5
mt2	5
si:ch211-243a20.3	5
tspan36	5
mtbl	5
fabp11a	5
pfn1	5
s100a10b	5
gstp1	5
txn	5
ak1	5
aqp3a	5
qdpra	5
lgals2a	5
pah	5
anxa1a	5
oca2	5
gstt1a	5
slc3a2a	5
si:dkey-250k10.4	5
zgc:110339	5
pcbd1	5
gpr143	5
tspan10	5
mitfa	5
rab32a	5
tmem243a	5
mlpha	5
anxa5b	5
atp6v0ca	5
rhag	5
csrp2	5
slc29a3	5
ocstamp	5
hnmt	5
tfap2e	5
rasd1	5
si:ch211-195b13.1	5
sqstm1	5
rgs16	5
atp6v0e1	5
anxa2a	5
smim29	5
slc22a7a	5
eno3	5
rtn1b	5
abracl	5
rdh10a	5
trpm1b	5
rabl6b	5
slc2a15b	5
pttg1ipb	5
